median_income,zipcode
65781,ZCTA5 98443
38940,ZCTA5 98444
58254,ZCTA5 98445
67873,ZCTA5 98446
-,ZCTA5 98447
47227,ZCTA5 98465
52664,ZCTA5 98466
58964,ZCTA5 98467
56191,ZCTA5 98498
39151,ZCTA5 98499
66319,ZCTA5 98501
62595,ZCTA5 98502
56871,ZCTA5 98503
60431,ZCTA5 98506
63002,ZCTA5 98512
70169,ZCTA5 98513
71089,ZCTA5 98516
43946,ZCTA5 98520
59453,ZCTA5 98524
39750,ZCTA5 98526
51406,ZCTA5 98527
55756,ZCTA5 98528
38603,ZCTA5 98530
39422,ZCTA5 98531
51684,ZCTA5 98532
48026,ZCTA5 98533
33085,ZCTA5 98535
"2,500-",ZCTA5 98536
56198,ZCTA5 98537
61250,ZCTA5 98538
46135,ZCTA5 98541
59348,ZCTA5 98542
-,ZCTA5 98544
67649,ZCTA5 98546
27125,ZCTA5 98547
30720,ZCTA5 98548
37965,ZCTA5 98550
37464,ZCTA5 98552
null,ZCTA5 98555
52880,ZCTA5 98557
81280,ZCTA5 98558
-,ZCTA5 98559
37250,ZCTA5 98560
-,ZCTA5 98562
54153,ZCTA5 98563
48981,ZCTA5 98564
58375,ZCTA5 98565
47923,ZCTA5 98568
40989,ZCTA5 98569
43162,ZCTA5 98570
null,ZCTA5 98571
45769,ZCTA5 98572
50341,ZCTA5 98575
54434,ZCTA5 98576
41494,ZCTA5 98577
56875,ZCTA5 98579
60559,ZCTA5 98580
41905,ZCTA5 98581
null,ZCTA5 98582
27159,ZCTA5 98583
48164,ZCTA5 98584
72031,ZCTA5 98585
34792,ZCTA5 98586
30417,ZCTA5 98587
56855,ZCTA5 98588
53980,ZCTA5 98589
37500,ZCTA5 98590
47478,ZCTA5 98591
63313,ZCTA5 98592
45956,ZCTA5 98593
33281,ZCTA5 98595
44638,ZCTA5 98596
53641,ZCTA5 98597
58902,ZCTA5 98601
43636,ZCTA5 98602
52188,ZCTA5 98603
69211,ZCTA5 98604
51116,ZCTA5 98605
79271,ZCTA5 98606
87373,ZCTA5 98607
36568,ZCTA5 98610
57241,ZCTA5 98611
48780,ZCTA5 98612
59375,ZCTA5 98613
null,ZCTA5 98614
31857,ZCTA5 98616
50313,ZCTA5 98617
47083,ZCTA5 98619
41538,ZCTA5 98620
31875,ZCTA5 98621
38287,ZCTA5 98624
57250,ZCTA5 98625
44902,ZCTA5 98626
31420,ZCTA5 98628
74625,ZCTA5 98629
40500,ZCTA5 98631
41515,ZCTA5 98632
37857,ZCTA5 98635
51397,ZCTA5 98638
51094,ZCTA5 98639
33424,ZCTA5 98640
-,ZCTA5 98641
79840,ZCTA5 98642
52045,ZCTA5 98643
38841,ZCTA5 98644
58958,ZCTA5 98645
null,ZCTA5 98647
51818,ZCTA5 98648
58824,ZCTA5 98649
61339,ZCTA5 98650
61667,ZCTA5 98651
43319,ZCTA5 98660
41994,ZCTA5 98661
57967,ZCTA5 98662
52217,ZCTA5 98663
53971,ZCTA5 98664
50467,ZCTA5 98665
